an,judet,oras_tip,sex,profil,nota_romana,nota_matematica,nota_istorie,nota_specialitate,nota_lb_moderna,medie_generala,promovat,sesiune,tip_scoala
2019,Tulcea,Rural,F,Real,6.64,,,7.6,4.98,0.0,0,vara,Liceu teoretic
2019,Mures,Urban,F,Uman,6.16,,6.64,8.13,8.85,7.24,1,vara,Colegiu national
2019,Covasna,Urban,F,Pedagogic,5.8,,7.1,8.49,10.0,7.54,1,toamna,Liceu teoretic
2019,Bucuresti,Urban,F,Uman,5.92,,5.54,6.17,7.41,6.1,1,vara,Colegiu national
2019,Brasov,Urban,M,Tehnologic,6.43,,,6.16,7.98,0.0,0,vara,Colegiu national
2019,Gorj,Urban,M,Real,5.59,6.67,,6.59,6.69,6.34,1,vara,Liceu teoretic
2019,Tulcea,Urban,M,Real,7.78,3.38,,6.43,4.58,5.68,0,vara,Liceu teoretic
2019,Galati,Urban,M,Real,6.67,8.66,,6.05,6.78,7.08,1,vara,Liceu tehnic
2019,Hunedoara,Urban,M,Uman,6.34,,6.53,5.16,7.43,6.21,1,vara,Liceu teoretic
2019,Caras-Severin,Urban,F,Real,5.86,7.0,,6.25,6.24,6.35,1,vara,Liceu teoretic
2019,Caras-Severin,Urban,M,Uman,7.29,,7.14,7.82,8.27,7.54,1,vara,Liceu teoretic
2019,Ialomita,Rural,F,Uman,6.07,,7.24,,5.84,0.0,0,toamna,Liceu teoretic
2019,Suceava,Urban,M,Uman,6.39,,7.09,6.61,7.69,6.84,1,vara,Liceu tehnic
2019,Vaslui,Rural,M,Real,7.73,7.15,,5.76,7.12,6.91,1,vara,Colegiu national
2019,Ialomita,Rural,F,Real,5.22,4.44,,6.39,4.37,5.21,0,vara,Liceu tehnic
2019,Arges,Rural,F,Pedagogic,5.59,,5.07,6.51,6.6,5.85,0,toamna,Liceu teoretic
2019,Harghita,Rural,M,Tehnologic,7.5,6.68,,7.34,4.88,6.85,1,vara,Liceu teoretic
2019,Arad,Urban,F,Uman,8.15,,5.31,4.78,6.9,6.2,0,toamna,Grup scolar
2019,Ialomita,Rural,F,Real,5.76,5.86,,6.7,4.76,5.91,0,vara,Liceu tehnic
2019,Neamt,Urban,F,Sportiv,6.65,,5.91,7.85,4.64,6.49,1,toamna,Grup scolar
2019,Timis,Rural,M,Tehnologic,4.91,8.4,,6.64,5.51,6.49,0,vara,Liceu tehnic
2019,Arad,Rural,F,Uman,8.79,,,8.04,8.14,0.0,0,vara,Colegiu national
2019,Gorj,Urban,F,Pedagogic,9.94,,7.18,8.48,7.14,8.33,1,toamna,Liceu tehnic
2019,Satu Mare,Urban,M,Real,6.04,5.38,,7.1,4.84,5.98,0,vara,Liceu teoretic
2019,Calarasi,Urban,F,Uman,6.66,,5.93,6.33,3.24,5.87,0,vara,Liceu tehnic
2019,Harghita,Rural,M,Tehnologic,7.01,6.57,,7.25,9.03,7.24,1,vara,Liceu tehnic
2019,Iasi,Urban,F,Real,,7.2,,,7.16,0.0,0,vara,Liceu teoretic
2019,Maramures,Urban,M,Sportiv,6.36,,7.04,8.21,4.33,6.79,1,vara,Liceu teoretic
2019,Vrancea,Urban,F,Tehnologic,6.74,9.38,,6.96,,7.69,1,toamna,Colegiu national
2019,Mehedinti,Urban,F,Uman,8.35,,7.22,7.37,5.79,7.38,1,vara,Grup scolar
2019,Dambovita,Rural,M,Real,8.1,7.16,,6.99,,7.42,1,vara,Liceu tehnic
2019,Covasna,Rural,M,Real,6.96,4.64,,,,0.0,0,toamna,Liceu teoretic
2019,Arges,Urban,F,Uman,7.72,,9.89,7.83,6.05,8.13,1,vara,Liceu teoretic
2019,Teleorman,Urban,F,Tehnologic,6.56,8.6,,6.56,3.42,6.69,1,vara,Colegiu national
2019,Botosani,Urban,M,Real,4.93,7.1,,7.93,5.41,6.48,0,vara,Liceu teoretic
2019,Gorj,Urban,M,Uman,6.34,,6.53,6.6,5.37,6.33,1,vara,Grup scolar
2019,Braila,Rural,F,Tehnologic,4.47,7.51,,5.31,5.01,5.66,0,vara,Liceu teoretic
2019,Tulcea,Urban,F,Real,6.73,5.98,,6.86,5.29,6.35,1,toamna,Liceu tehnic
2019,Drobeta-Tr. Severin,Urban,M,Tehnologic,6.23,7.57,,5.96,7.33,6.69,1,vara,Colegiu national
2019,Bacau,Rural,F,Real,4.59,,,6.6,5.79,0.0,0,vara,Grup scolar
2019,Iasi,Rural,F,Sportiv,4.26,,7.46,,4.12,0.0,0,vara,Liceu tehnic
2019,Constanta,Urban,M,Uman,5.54,,4.97,7.39,6.26,6.01,0,vara,Liceu tehnic
2019,Braila,Urban,M,Real,6.26,5.06,,6.49,7.54,6.17,1,vara,Grup scolar
2019,Ilfov,Urban,M,Uman,6.71,,7.25,7.39,8.33,7.29,1,vara,Liceu teoretic
2019,Arad,Rural,F,Uman,,,5.78,6.31,5.75,0.0,0,vara,Grup scolar
2019,Giurgiu,Rural,F,Tehnologic,6.25,7.33,,5.69,6.08,6.37,1,toamna,Liceu teoretic
2019,Mehedinti,Urban,F,Tehnologic,6.87,6.81,,7.65,5.69,6.91,1,vara,Colegiu national
2019,Botosani,Urban,M,Tehnologic,6.39,8.81,,5.82,8.1,7.16,1,vara,Colegiu national
2019,Brasov,Rural,M,Real,7.57,,,,7.06,0.0,0,toamna,Liceu teoretic
2019,Sibiu,Rural,F,Real,6.65,,,7.37,5.64,0.0,0,vara,Grup scolar
2019,Constanta,Rural,M,Real,7.68,6.2,,5.43,4.6,6.17,1,vara,Liceu teoretic
