company_name,year,sector,current_ratio,quick_ratio,debt_ratio,debt_to_equity,net_profit_margin,return_on_assets,return_on_equity,asset_turnover,working_capital_ratio,interest_coverage,is_bankrupt
B.N.BUSINESS SRL,2020,Agricultura,2.452,2.1817,0.2497,0.3328,6.3155,9.57,12.7546,1.5153,0.3625,7.6657,
INSTAL IMPEX SRL,2020,Agricultura,1.0513,0.4526,0.4209,0.7267,12.655,5.3206,9.187,0.4204,0.0216,2.6658,
METALCOMP INTERNATIONAL SRL,2020,Agricultura,1.091,0.5348,0.524,1.1009,16.9056,3.5874,7.5367,0.2122,0.0477,1.4834,
IKEM INTERNATIONAL SRL,2020,Agricultura,1.4861,0.6795,0.4839,0.9385,3.6641,5.0476,9.7894,1.3776,0.2352,2.2759,
"REGIA AUTONOMA ""ADMINISTRATIA ZONEI LIBERE"" CURTICI - ARAD RA",2020,Agricultura,0.2444,0.0531,1.3952,-3.4885,7.1671,3.5713,-8.9292,0.4983,-1.0543,0.5119,
NDB LOGISTICA ROMANIA SRL,2020,Agricultura,22.8184,22.5458,0.0437,0.0457,37.744,20.458,21.3931,0.542,0.9536,101.0536,
DIVA SOL SRL,2020,Agricultura,0.9028,0.4631,0.5769,1.3635,2.7159,6.6874,15.8057,2.4623,-0.0561,2.7028,
GAZ VEST SA,2020,Agricultura,0.041,0.041,0.2387,0.3135,-93.8348,-13.8888,-18.2435,0.148,-0.2289,-11.4295,
AGRICOLA SAN GIORGIO SRL,2020,Agricultura,3.1489,0.4888,0.2777,0.3844,3.2426,1.866,2.5834,0.5755,0.5967,1.6371,
DORIS PROD COM SRL,2020,Agricultura,0.8591,0.4052,0.384,0.6233,31.3407,15.3266,24.8801,0.489,-0.0541,8.2359,
CENTRUL MEDICAL LASER SYSTEM SRL,2020,Agricultura,0.5648,0.3991,0.8934,15.0002,1.4541,0.7515,12.6177,0.5168,-0.3889,0.1682,
MAXSTILE SRL,2020,Agricultura,0.6665,0.2603,0.7726,3.3974,0.1121,0.1364,0.5996,1.216,-0.2577,0.1478,
LICCO PROMPT 2000 SRL,2020,Agricultura,4.8267,3.0833,0.0822,0.0895,67.1672,7.5822,8.261,0.1129,0.3145,18.7246,
FREE STYLER SRL,2020,Agricultura,4.4513,1.2538,0.0907,0.0998,16.3739,3.8645,4.2502,0.236,0.3132,9.8125,
VAT ROMANIA S.R.L.,2020,Agricultura,0.8891,0.5824,0.8814,7.4348,3.5043,3.4647,29.2237,0.9887,-0.0978,0.8411,
AYRTON TRANS SRL,2020,Agricultura,0.6648,0.1631,0.8536,5.8308,2.9769,4.1301,28.2123,1.3874,-0.2862,1.1523,
AUTO GROUP C.M.B. SRL,2020,Agricultura,1.2734,1.0073,0.1509,0.1866,41.8931,15.3309,18.9526,0.366,0.0413,20.8048,
CENTRALA ELECTRICĂ DE TERMOFICARE ARAD SA ( C.E.T.ARAD),2020,Agricultura,0.8738,0.698,0.3738,0.9855,1.9984,1.7259,4.5498,0.8636,-0.0472,1.0655,
DITRE INTERNATIONAL SRL,2020,Agricultura,11.1191,6.228,0.0717,0.0772,48.2129,25.0618,26.9974,0.5198,0.7255,71.3779,
FCC ENVIRONMENT ROMÂNIA SRL,2020,Agricultura,0.6497,0.4892,0.3591,0.7204,-19.7316,-11.7063,-23.486,0.5933,-0.1258,-6.5204,
PERRENOT ROMANIA SRL,2020,Agricultura,0.8223,0.4186,0.6876,2.2013,6.5261,6.5834,21.0753,1.0088,-0.1222,2.1852,
TONNELLERIE MARGO SRL,2020,Agricultura,1.4777,0.7006,0.304,0.4368,1.8878,1.8972,2.7259,1.005,0.1452,1.5732,
INTECO HOLDING SRL,2020,Agricultura,1.1489,0.3026,0.3808,0.615,13.3793,5.662,9.1438,0.4232,0.0567,3.2821,
CAME-IT SRL,2020,Agricultura,0.9035,0.0523,0.5191,1.1893,0.6754,0.4338,0.9939,0.6423,-0.0501,0.4141,
ICIRUAL 2003 SRL,2020,Agricultura,0.3008,0.3008,0.8803,7.3541,4.8228,0.087,0.7266,0.018,-0.6155,0.0212,
LAGERMAX LOGISTICS ROMANIA S.R.L.,2020,Agricultura,0.4932,0.1428,0.8799,32.1668,52.6692,2.3937,87.5078,0.0454,-0.4459,0.6218,
TRANSEURO SRL,2020,Agricultura,2.0504,1.408,0.369,0.6043,-9.7388,-3.776,-6.1843,0.3877,0.3876,-2.0467,
APA-CTTA SA,2020,Agricultura,0.3801,0.1176,0.8731,6.8807,-88.2877,-30.2625,-238.4905,0.3428,-0.5412,-6.8353,
SOCIETATEA DE TRANSPORT PUBLIC SA ALBA IULIA,2020,Agricultura,1.2159,0.2034,0.5231,1.0971,16.752,14.302,29.9926,0.8537,0.1129,6.3641,
DACIA SA,2020,Agricultura,0.6598,0.039,0.3683,0.5831,36.4918,7.6496,12.1101,0.2096,-0.1253,4.275,
I.A.M.U. SA,2020,Agricultura,0.3171,0.1018,1.4424,-3.2602,1.8695,1.3789,-3.1167,0.7376,-0.985,0.2928,
DUPEX SRL,2020,Agricultura,2.9886,1.2125,0.2135,0.2715,8.2845,3.6549,4.6472,0.4412,0.4246,3.843,
CISEROM SA,2020,Agricultura,0.2092,0.0131,0.9417,30.26,0.3942,0.3129,10.0541,0.7937,-0.7447,0.0665,
PAN S & C SRL,2020,Agricultura,0.7106,0.7005,0.1005,0.1443,0.0,0.0,0.0,0.2338,-0.0291,0.0101,
MADO SRL,2020,Agricultura,1.9163,1.4598,0.3,0.4286,2.7032,3.4382,4.9119,1.2719,0.2749,2.6534,
APIDAVA SRL,2020,Agricultura,0.4886,0.2873,0.8352,7.0518,32.7919,10.2013,86.1333,0.3111,-0.4271,2.4429,
POMAROM SRL,2020,Agricultura,0.7879,0.7117,0.5324,1.1388,1.3695,1.7643,3.7735,1.2883,-0.1129,0.7257,
MOBILAIUD SRL,2020,Agricultura,2.4962,0.8617,0.2736,0.4134,-3.993,-2.3133,-3.4956,0.5793,0.4094,-1.691,
DRUMURI SI PODURI LOCALE ALBA SA,2020,Agricultura,1.1862,0.9594,0.0956,0.1057,0.1432,0.1179,0.1304,0.8235,0.0178,0.2909,
OPREAN SRL,2020,Agricultura,1.4076,0.982,0.2769,0.3829,42.9208,17.2118,23.8023,0.401,0.1129,14.8005,
TRANS-PRIMA SRL,2020,Agricultura,1.8409,1.4453,0.5033,1.0133,28.4478,18.9336,38.1187,0.6656,0.4232,7.7897,
