company_name,year,sector,current_ratio,quick_ratio,debt_ratio,debt_to_equity,net_profit_margin,return_on_assets,return_on_equity,asset_turnover,working_capital_ratio,interest_coverage,is_bankrupt
VacantaRom SA,2020,Turism_HoReCa,1.2093,0.934,0.4859,0.9582,14.2278,10.2035,28.3967,1.4194,0.1453,16.5581,0
CarRom SA,2022,Productie,1.8203,1.4858,0.5443,1.3531,17.8656,12.119,19.6006,1.1612,0.1486,5.2853,0
RiverRom SA,2020,Transport_Logistica,1.6285,1.0713,0.4198,0.7414,5.5834,13.3523,11.2529,1.4363,0.1577,4.7133,0
EtiopRom SA,2020,Turism_HoReCa,1.6313,1.1091,0.4386,0.7561,3.5592,16.6524,11.8953,1.3502,0.1032,16.501,0
Societatea de Investitii Financiare Banat Crisana SA,2022,Diverse,6.1916,3.4386,0.0882,0.0898,44.0026,10.4959,15.9664,0.2552,0.6,14.8751,0
ButelieSRL SA,2020,Agricultura,2.3194,1.4215,0.4761,1.013,9.2525,3.3329,13.0807,0.6866,0.2184,4.8788,0
CosRom SA,2022,Comert,1.9146,0.8985,0.5105,1.0421,1.3,9.208,10.932,1.8459,0.1823,5.1413,0
One United Properties SA,2021,Constructii,1.9671,1.5222,0.4944,1.07,25.8566,15.1333,25.5437,0.4159,0.1741,3.8262,0
MetanRom SRL,2023,Energie,2.6845,2.0955,0.6694,2.1853,15.71,6.1746,26.4074,0.974,0.2621,7.8721,0
CalRom SRL,2023,Productie,2.2048,1.1873,0.5504,1.2829,8.4226,8.6797,26.3672,1.873,0.1083,15.509,0
BiomRom SA,2021,Energie,1.2493,0.8671,0.3434,0.5629,24.6935,15.4076,10.1177,0.4347,0.2686,14.7516,0
GhanaRom SA,2021,Turism_HoReCa,1.8868,1.3238,0.6347,1.7493,14.0693,14.7641,14.6809,1.0761,0.1239,4.6182,0
PomuRom SRL,2022,Agricultura,2.5486,1.7194,0.4397,0.896,5.6473,6.3053,17.6433,1.1514,0.1763,11.0168,0
BioServ SA,2020,Sanatate_Farma,3.3441,3.1383,0.3106,0.4123,32.4096,15.4573,38.5307,0.763,0.2969,12.1108,0
AmmRom SA,2021,Energie,1.2272,0.8183,0.4226,0.6948,14.6479,17.7909,20.9484,0.6416,0.2451,9.5328,0
MallRom SA,2019,Comert,1.7881,0.6579,0.6371,1.5857,6.6907,6.7368,20.9635,3.4501,0.1081,8.9927,0
FishRom SA,2021,Agricultura,2.2848,1.552,0.4403,0.7672,11.1664,7.6911,10.3105,0.9659,0.2148,4.4495,0
DistribRom SA,2019,Comert,2.1606,1.0391,0.4671,1.0072,3.7386,4.9181,7.2687,3.6858,0.2137,3.0338,0
DeficitProd2 SA,2020,Diverse,0.4141,0.3267,1.5503,13.151,-25.5665,-15.3311,-37.3949,0.1785,-0.4837,-3.4207,1
CaRom SA,2020,Energie,1.6102,1.3993,0.5646,1.3958,20.4208,6.2131,25.9619,0.5503,0.3158,15.1406,0
JudConst SRL,2020,Constructii,2.2995,1.5369,0.5785,1.5004,10.8244,4.9164,8.0392,1.9063,0.1216,11.6982,0
FlorRet SA,2023,Comert,1.6537,0.698,0.6459,1.7733,3.3752,2.5245,21.7654,1.9838,0.1687,7.5564,0
TirRom SA,2020,Transport_Logistica,1.9268,1.3386,0.4779,0.8055,11.6776,6.175,14.3262,0.7097,0.0515,8.6663,0
DistribRom SA,2022,Comert,1.1025,0.3266,0.4028,0.7358,4.2115,10.1457,21.0988,1.8523,0.1963,8.7284,0
WealthTech SRL,2020,IT_Telecom,5.6903,4.6773,0.3184,0.4492,27.1299,36.9566,40.1965,1.8506,0.5445,59.2688,0
ArdeRom SRL,2020,Agricultura,1.8009,0.8475,0.3648,0.5716,16.2478,4.5944,20.7741,0.8005,0.1962,4.5005,0
Erste Group Bank,2021,Diverse,1.4582,0.9093,0.8188,4.777,19.2719,1.6255,12.253,0.1252,0.0825,0.2482,0
SMSRom SRL,2021,IT_Telecom,4.2409,3.6323,0.173,0.236,17.8508,14.5786,23.0232,1.0923,0.2907,54.2516,0
